Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Gupta K., Chaudhary I., Chukkapalli S.S.L., Joshi A., Panigrahi B.K.","57642460000;58940379500;57218102560;58939952600;25637555100;","A privacy-preserving anomaly diagnosis scheme for AC microgrids",2024,"Sustainable Energy, Grids and Networks","38",,"101346","","",,,"10.1016/j.segan.2024.101346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187790500&doi=10.1016%2fj.segan.2024.101346&partnerID=40&md5=b785f2351c5d1a7cb7ceceaa9cd79d14","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, Delhi, 110016, India; Department of Computer Science, University of Illinois, Urbana-Champaign, Champaign, IL  61820, United States; Department of Computer Science and Electrical Engineering, University of Maryland, Baltimore County, Baltimore, MD  21250, United States","Gupta, K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, Delhi, 110016, India; Chaudhary, I., Department of Computer Science, University of Illinois, Urbana-Champaign, Champaign, IL  61820, United States; Chukkapalli, S.S.L., Department of Computer Science and Electrical Engineering, University of Maryland, Baltimore County, Baltimore, MD  21250, United States; Joshi, A., Department of Computer Science and Electrical Engineering, University of Maryland, Baltimore County, Baltimore, MD  21250, United States; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, Delhi, 110016, India","The integration of cyber infrastructure in renewable energy source based AC microgrids (MGs) raises concerns about potential cyber attacks on such systems. An adversary can fabricate the information being exchanged between system components, which may cause false tripping of the installed protection devices. This creates the need for an anomaly diagnosis scheme that can distinguish between faults and cyber attacks to attain a reliable and secure system under large signal disturbances. This work presents a machine learning-based anomaly diagnosis scheme which characterizes these anomalies. The scheme uses the well-known XGBoost approach, and requires local measurements (such as, active power, reactive power, and frequency) of inverter-interfaced distributed energy resources (IIDERs). Since such measurements may be difficult for participants in a system to share across organizational boundaries due to commercial or regulatory concerns, the proposed approach obfuscates the measurements by additive noise while preserving detection accuracy. This scheme was tested on an AC MG network with four IIDERs, modeled on a real-time simulation platform in an OPAL-RT environment. The results validate the effectiveness and accuracy of the proposed scheme under different conditions. © 2024 Elsevier Ltd","Anomaly diagnosis; Cyber attacks; Cyber–physical system; Faults; Inverters; Privacy-preserving; XGBoost","Additive noise; Anomaly detection; Computer crime; Crime; Electric inverters; Microgrids; Network security; Reactive power; Renewable energy; Anomaly diagnosis; Cybe-physical systems; Cyber-attacks; Cyber-physical systems; Distributed Energy Resources; Fault; Inverter; Microgrid; Privacy preserving; Xgboost; Simulation platform","Gupta, K.; Department of Electrical Engineering, India; email: Kirti.Gupta@ee.iitd.ac.in",,"Elsevier Ltd",23524677,,,,"English","Sustain. Energy Grids Netw.",Article,"Final","",Scopus,2-s2.0-85187790500
"Mishra R.K., Choudhary A., Fatima S., Mohanty A.R., Panigrahi B.K.","57339037100;57203918356;36672871200;7102044449;25637555100;","A generalized method for diagnosing multi-faults in rotating machines using imbalance datasets of different sensor modalities",2024,"Engineering Applications of Artificial Intelligence","132",,"107973","","",,,"10.1016/j.engappai.2024.107973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183938536&doi=10.1016%2fj.engappai.2024.107973&partnerID=40&md5=feeaaf0bb8767c0023f8d771f96be87b","Centre for Automotive Research and Tribology, Indian Institute of Technology Delhi, New Delhi, India; School of Interdisciplinary Research (SIRe), Indian Institute of Technology Delhi, New Delhi, India; Department of Mechanical Engineering, Indian Institute of Technology Kharagpur, West Bengal, India; Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India","Mishra, R.K., Centre for Automotive Research and Tribology, Indian Institute of Technology Delhi, New Delhi, India; Choudhary, A., School of Interdisciplinary Research (SIRe), Indian Institute of Technology Delhi, New Delhi, India; Fatima, S., Centre for Automotive Research and Tribology, Indian Institute of Technology Delhi, New Delhi, India; Mohanty, A.R., Department of Mechanical Engineering, Indian Institute of Technology Kharagpur, West Bengal, India; Panigrahi, B.K., Centre for Automotive Research and Tribology, Indian Institute of Technology Delhi, New Delhi, India, Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India","Fault diagnosis of rotating machines is essential for the safe and efficient operation of maritime vessels. It prevents potential failures in rotating machines in maritime systems. Simultaneously developed faults severely damage the machines, leading to unprecedented incidents and higher maintenance costs. Data availability for developing multi-fault diagnosis solutions is limited, creating maintainability problems. The unavailability of data also causes further obstacles in the accurate diagnosis of machines. The efficiency of maritime machinery can be improved with intelligent diagnosis by advanced machine learning algorithms. This paper proposes a methodology to diagnose multi-faults with balanced and imbalanced acoustic, vibration and current signals datasets. After acquiring the data from an experimental setup under various speeds, a time-frequency-based Stepping Frame Synchrosqueezed Fourier Transform (SFSFT) is deployed in each segmented signal prior to feature extraction. The extracted features are used for training the Radial Basis Function Neural Network (RBFNN). Different balanced and imbalanced datasets are created to check the multi-fault classification ability of the proposed methodology. The results show that SFSFT-RBFNN is a generalised methodology, which performed tremendously well with a maximum classification accuracy of 100 % for balanced and imbalanced datasets in all three modality datasets. © 2024 Elsevier Ltd","Fourier synchrosqueezed transform; Imbalance data; Maritime rotating machines; Multi-faults diagnosis; Neural network; Stepping frame","Classification (of information); Fault detection; Learning algorithms; Machine learning; Maintenance; Radial basis function networks; Rotating machinery; Fourier; Fourier synchrosqueezed transform; Imbalance datum; Maritime rotating machine; Multi faults; Multi-fault diagnosis; Neural-networks; Radial basis function neural networks (RBF); Rotating machine; Stepping frame; Failure analysis","Fatima, S.; Centre for Automotive Research and Tribology, India; email: fatima@iitd.ac.in",,"Elsevier Ltd",09521976,,EAAIE,,"English","Eng Appl Artif Intell",Article,"Final","",Scopus,2-s2.0-85183938536
"Patekar R.S., Pal D., Panigrahi B.K.","57216703858;57193992810;25637555100;","Event-Triggered Hybrid Anti-Islanding Protection Scheme Based on Q-Axis Disturbance Injection",2024,"IEEE Transactions on Industrial Electronics","71","6",,"5787","5796",,,"10.1109/TIE.2023.3292864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165341000&doi=10.1109%2fTIE.2023.3292864&partnerID=40&md5=b121ce47745529d3c74d055c8f3f9ce6","Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; National University of Singapore, Department of Electrical and Computer Engineering117582, Singapore","Patekar, R.S., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Pal, D., National University of Singapore, Department of Electrical and Computer Engineering117582, Singapore; Panigrahi, B.K., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","Distributed generators are required to be integrated with sophisticated anti-islanding protection system (AIPS). However, most conventional AIPS fails to detect unintentional islanding event during perfectly matched loading conditions. To overcome this issue, in this article, a hybrid islanding detection algorithm has been proposed based on the rate of change of kinetic energy and root-mean-square value of absolute frequency deviation at the point of common coupling (PCC). The methodology presents a significant contribution prior to the state-of-the-art methods in terms of the disturbance injection mechanism through the q-axis current control loop of the grid-tied inverter. The method activates the disturbance signal injection mechanism only when an unintentional islanding event is suspected based on monitoring certain parameters at the PCC. This mechanism has been proposed to have zero nondetection zone, very fast operation, straightforward implementation, and significantly less impact on the power quality and stability of the power electronics system. The performance of the proposed method has been evaluated by conducting 200+ islanding and nonislanding case studies in simulation as well as an experimental platform. The proposed method is robust, accurate, and fast enough to detect an islanding event cleverly with a detection time as small as 120 ms. © 1982-2012 IEEE.","Distributed generation (DG); disturbunce injection; islanding identification; protection; rate of change of kinetic energy (ROCOKE); real-time digital simulator (RTDS); typhoon hardware-in-loop (HIL)","Distributed power generation; Electric equipment protection; Electric fault currents; Electric inverters; Electric power system protection; Kinetics; Power quality; Reactive power; Distributed generation; Disturbunce injection; Hardware in loop; Inverter; Islanding; Islanding identification; Protection; Rate of change; Rate of change of kinetic energy; Real-time digital simulator; Typhoon hardware-in-loop; Kinetic energy","Patekar, R.S.; Indian Institute of Technology Delhi, India; email: rakesh.shamrao.patekar@ee.iitd.ac.in",,"Institute of Electrical and Electronics Engineers Inc.",02780046,,ITIED,,"English","IEEE Trans Ind Electron",Article,"Final","",Scopus,2-s2.0-85165341000
"Semwal P., Narayanan V., Singh B., Panigrahi B.K.","57951597600;57202774121;7405638726;25637555100;","Performance Investigation of Hybrid Shipboard Microgrid using ESOGI-FLL Technique",2024,"e-Prime - Advances in Electrical Engineering, Electronics and Energy","7",,"100437","","",,,"10.1016/j.prime.2024.100437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185817284&doi=10.1016%2fj.prime.2024.100437&partnerID=40&md5=5b455d60b6a596fef9031e27b11c77e2","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India","Semwal, P., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Narayanan, V., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India","The issue of reducing greenhouse gas (GHG) emissions from ships has garnered significant interest from stakeholders within the maritime industry. This work considers a hybrid shipboard microgrid powered by a battery energy storage (BES), solar photovoltaic array (SPVA), and diesel generator (DG) set. The enhanced second-order generalized integrator-based frequency-locked loop (ESOGI-FLL) technique synchronizes the DG set and the shore grid at different operating modes to supply uninterruptable power to loads. The propulsion motor, nonlinear service loads, DG set, and sources equipped with power-electronic inverter result in power quality challenges within a hybrid shipboard microgrid. Thus, the ESOGI-FLL algorithm is utilized for the mitigation of power quality issues of hybrid shipboard microgrid. The hybrid microgrid is modeled in MATLAB/Simulink at different operating conditions and validated on a real-time test simulator. © 2024 The Author(s)","BES; DG; Hybrid shipboard microgrid; SPVA; Synchronization",,"Semwal, P.; Department of Electrical Engineering, India",,"Elsevier Ltd",27726711,,,,"English","e-Prime - Adv. Elec. Eng. Elec. Energy",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85185817284
"Singh S., Narayanan V., Singh B., Panigrahi B.K.","57226080816;57202774121;57226437448;25637555100;","Multiple voltage source converters based microgrid with solar photovoltaic array and battery storage",2024,"e-Prime - Advances in Electrical Engineering, Electronics and Energy","7",,"100408","","",,,"10.1016/j.prime.2023.100408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181252242&doi=10.1016%2fj.prime.2023.100408&partnerID=40&md5=8833794bb4e044fc3d0dedc4999a7fd4","Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi110016, India","Singh, S., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi110016, India; Narayanan, V., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi110016, India; Singh, B., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi110016, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi110016, India","In this paper, a standalone photovoltaic (PV)-battery storage (BS) based microgrid (MG) is presented with a 415V-AC bus. The PV array is linked to the main voltage source converter (VSC1) DC-link to maximize power production in an efficient and cost-effective single-stage structure. This is achieved through an incremental conductance (INC) maximum power point (MPP) tracking approach. Moreover, a secondary converter (VSC2) is connected to BS for power flow management. MG performance is evaluated under various operating conditions. Steady-state and dynamic performances of MG are studied for variations such as changes in solar PV irradiance and load unbalances. © 2023 The Author(s)","Battery storage; Dual VSCs; MPPT-based INC algorithm; PR controller; PV array",,"Singh, S.; Department of Electrical Engineering, New Delhi, India; email: ssunaina12345@gmail.com",,"Elsevier Ltd",27726711,,,,"English","e-Prime - Adv. Elec. Eng. Elec. Energy",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85181252242
"Roy S., Das S., Singh B., Panigrahi B.K.","57195637716;57211601964;57226437448;25637555100;","AALMS Current Control and FC Type-2 PLL Aided Synchronization of DFIG-BES Microgrid",2024,"IEEE Transactions on Industrial Informatics","20","3",,"5033","5041",,,"10.1109/TII.2023.3326541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178016469&doi=10.1109%2fTII.2023.3326541&partnerID=40&md5=476b60fee993ea56aca53acc106f94cb","Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","Roy, S., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Das, S., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Singh, B., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Panigrahi, B.K., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","This article presents an adaptive current control for wind-fed microgrid (MG) based on doubly-fed induction generator (DFIG). Generally, such wind generation based microgrid is installed in remote locations, where power quality is a concern in the grid. In this aspect, this work proposes an adaptive current control for the stator-side converter of DFIG, which injects MG power with total harmonic distortion less than 5%, as prescribed by the IEEE-519 standard. The adaptive filtering scheme is based on Amari-Alpha least mean square method, which performs good for weight estimation under dynamic operating conditions for such MG. MG possess the ability to transfer between grid-tied and islanded mode based on an islanding scheme, which is grounded on the IEEE-1547 standard. The synchronization process to the grid is critical and requires accurate phase and frequency estimation, thereby forward compensated type-2 phase locked loop (FCT2PLL) is utilized, which is fast tracking due to the forward compensation provided. FCT2PLL is tested here in this scheme, which validates its utility in practical scenarios. Detailed performance is achieved with MATLAB simulation and tested in real-time scenario on a laboratory setup using dSPACE-DS1202 as the controller. © 2005-2012 IEEE.","Amari-Alpha least mean square method (AALMS); battery energy storage (BES); doubly-fed induction generator (DFIG); forward compensated type-2 phase locked loop (FCT2PLL); islanding detection; microgrid; power quality (PQ)","Adaptive filtering; Adaptive filters; Asynchronous generators; Distributed power generation; Electric current control; Electric fault currents; Frequency estimation; Harmonic analysis; Least squares approximations; Locks (fasteners); MATLAB; Phase locked loops; Quality control; Stators; Synchronization; Unified Modeling Language; Amari-alpha least mean square method; Battery energy storage; Doubly fed induction generators; Doubly-feed induction generator; Forward compensated type-2 phase locked loop; Islanding detection; Least Means Squares methods; Microgrid; Power quality; Power quality","Roy, S.; Indian Institute of Technology Delhi, India; email: suvom.roy@ee.iitd.ac.in",,"IEEE Computer Society",15513203,,,,"English","IEEE Trans. Ind. Inf.",Article,"Final","",Scopus,2-s2.0-85178016469
"Farooqi M.Z., Singh B., Panigrahi B.K.","57423583000;57226437448;25637555100;","Robust Control for Enhanced Dynamic Performance of CRM-Based Active Power Decoupling Circuit",2024,"IEEE Transactions on Industrial Informatics","20","3",,"3685","3694",,,"10.1109/TII.2023.3310743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173027966&doi=10.1109%2fTII.2023.3310743&partnerID=40&md5=4929b50edea0ee66e07b4229c8eef4be","Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","Farooqi, M.Z., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Singh, B., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Panigrahi, B.K., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","The inherent tendency of single-phase grid-connected ac-dc converters is to produce double-line-frequency ripple at the dc link. A buck-based active power decoupling (APD) converter is employed to solve this issue of double-line-frequency ripple. By operating the APD converter with variable switching frequency, a critical condition mode (CRM) is achieved, which ensures soft switching of both the switches of APD converter. However, high-attenuation-based digital filters in both voltage and current loops are necessary in variable-switching-frequency-based control, which introduces new dynamics in the control loop. This limits the ability of the controller to rapidly adjust the decoupling capacitor voltage with change in output power. In this article, a novel control method is proposed for the APD converter, which entitles the design of a faster decoupling control, while ensuring the system stability and efficiency during dynamic periods. Although the proposed control results in higher robustness and improved transient response, the original dynamics of the system remain unaffected. The steady-state and dynamic performance improvement results with the proposed control of the CRM-operated APD converter are validated through simulation and experimental results. © 2005-2012 IEEE.","Active power decoupling (APD); active ripple elimination; critical conduction mode (CRM); dynamic performance improvement; zero-voltage switching (ZVS)","Digital filters; Electric power system control; Power converters; Public relations; Robust control; System stability; Zero voltage switching; Active power decoupling; Active ripple elimination; Critical conduction mode; Critical conduction modes; Customer relationship management; Dynamics performance improvement; Inductor; Zero- Voltage Switching; Zero-voltage switching; Transient analysis","Farooqi, M.Z.; Indian Institute of Technology Delhi, India; email: zarkab@gmail.com",,"IEEE Computer Society",15513203,,,,"English","IEEE Trans. Ind. Inf.",Article,"Final","",Scopus,2-s2.0-85173027966
"Roy S., Das S., Singh B., Panigrahi B.K.","57195637716;57211601964;57226437448;25637555100;","HT-PLL-Based Seamless Transition Strategy for DFIG With Power Quality Enhancement Through Fractional-Order Adaptive Filter",2024,"IEEE Transactions on Industrial Electronics","71","3",,"2465","2476",,1,"10.1109/TIE.2023.3266577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153535449&doi=10.1109%2fTIE.2023.3266577&partnerID=40&md5=2e1d20a2356943df3d5a7b3fee937975","Indian Institute of Technology Delhi, New Delhi, 110016, India","Roy, S., Indian Institute of Technology Delhi, New Delhi, 110016, India; Das, S., Indian Institute of Technology Delhi, New Delhi, 110016, India; Singh, B., Indian Institute of Technology Delhi, New Delhi, 110016, India; Panigrahi, B.K., Indian Institute of Technology Delhi, New Delhi, 110016, India","This article focuses on the seamless operational mode transition of a doubly-fed induction generator (DFIG) driven by a wind turbine (WT). Moreover, remote geographical allocation of wind farm installations demands power quality (PQ) improvement features, where the WT becomes a significant contributor to grid stability. This article presents a real-time implementation of a seamless transition of DFIG-based WT with the grid. The seamless transition process is aided by accurate phase angle estimates from a half-tangent phase-locked loop (PLL) technique, which is an improved version of synchronous reference frame (SRF) based PLL. The phase detector of SRF-PLL is aided with HT function, which improves the accuracy at steady state and has faster dynamics under large frequency excursions. For PQ enhancement, an adaptive filter-based current control approach is suggested for grid-side converter during grid-feeding operation. The adaptive filter is based on a fractional-order gradient-descent total least mean p-norm algorithm. The benefit of this algorithm compared to its parent total least square methods is its ability to repress impulse noises in the eccentricities of the signal, showing a better convergence rate. The proposed control approaches are tested and compared with popular methods in simulation, and an experimental setup validates the satisfactory operation by subjecting through dynamic conditions and load unbalances. © 2023 IEEE.","Adaptive filter; battery energy storage (BES); doubly-fed induction generator (DFIG); fractional-order gradient-descent total least mean p-norm (FOGD-TLMP); half-tangent phase-locked loop (HT-PLL); islanding; microgrid; power quality (PQ); synchronization","Adaptive filtering; Adaptive filters; Asynchronous generators; Bandpass filters; Distributed power generation; Electric fault currents; Least squares approximations; Locks (fasteners); Power quality; Real time control; Wind power; Wind turbines; Adaptation models; Battery energy storage; Doubly fed induction generators; Doubly feed induction generator; FOGD-TLMP; Half-tangent-phase locked loop; Islanding; Microgrid; Predictive models; Phase locked loops","Roy, S.; Indian Institute of Technology DelhiIndia; email: suvom.roy@ee.iitd.ac.in",,"Institute of Electrical and Electronics Engineers Inc.",02780046,,ITIED,,"English","IEEE Trans Ind Electron",Article,"Final","",Scopus,2-s2.0-85153535449
"Mishra S.S., Joshi D., Panigrahi B.K.","55463280900;57205213243;25637555100;","Estimating Control Torque for Postural Balance among Unilateral Lower Limb Amputees during Different Visual Environments",2024,"IEEE Transactions on Medical Robotics and Bionics","6","1",,"120","134",,,"10.1109/TMRB.2023.3336969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179043498&doi=10.1109%2fTMRB.2023.3336969&partnerID=40&md5=77a54471fa15c4a1148921bd1438e40e","Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Indian Institute of Technology Delhi, Centre for Biomedical Engineering, New Delhi, 110016, India; All India Institute of Medical Sciences, Department of Biomedical Engineering, New Delhi, 110029, India","Mishra, S.S., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Joshi, D., Indian Institute of Technology Delhi, Centre for Biomedical Engineering, New Delhi, 110016, India, All India Institute of Medical Sciences, Department of Biomedical Engineering, New Delhi, 110029, India; Panigrahi, B.K., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","Lower limb impairment leads to the loss of sensory feedback and, as a result, poor postural abnormalities compared to able-bodied individuals. To maintain postural balance during gait initiation, individuals with lower extremity amputation over-depend on visual inputs and somatosensory information from the sound limb. This additional demand leads to higher cognitive load and additional extension and flexion torque in the healthy limb, leading to the unacceptability of current prostheses. In this study, a biomechanically relevant ankle-foot prosthesis model with a fractional order filter-based internal model control-based proportional integral derivative approach was explored to estimate the required control torque on the prosthetic ankle joint during dynamic weight-shifting activities in different visual environments. The results indicate the effectiveness of the proposed approach in adapting the balance uncertainties in different visual conditions. Pilot findings during weight shifting exercises show that the proposed f -IMC-PID and traditional IMC-PID controllers present a maximum RMSE between the experimental and achieved lean angles of 0.01371° and 0.08414°, respectively. In addition, the present work compares the two baseline postural models: the shock absorption inverted pendulum model and the inverted pendulum-based virtual model. The present work could potentially reduce the rehabilitation duration by addressing the design-oriented challenges in prosthetic solutions. © 2018 IEEE.","ankle torque; lower limb amputee; Postural balance; visual environment; weight shifting exercises","Artificial limbs; Inverted pendulum; Model predictive control; Proportional control systems; Sensory feedback; Three term control systems; Torque; Two term control systems; Ankle torque; Biological system modeling; Computational modelling; Control torque; IMC-PID; Lower limb; Lower-limb amputees; Postural balance; Visual environments; Weight shifting exercise; Biomechanics","Joshi, D.; Indian Institute of Technology Delhi, India; email: joshid@iitd.ac.in",,"Institute of Electrical and Electronics Engineers Inc.",25763202,,,,"English","IEEE Trans. Med. Rob. Bion.",Article,"Final","",Scopus,2-s2.0-85179043498
"Sareen K., Panigrahi B.K., Shikhola T., Nagdeve R.","56974053000;25637555100;57218767797;57211402262;","Deep learning solar forecasting for green hydrogen production in India: A case study",2024,"International Journal of Hydrogen Energy","50",,,"334","351",,2,"10.1016/j.ijhydene.2023.08.323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171145201&doi=10.1016%2fj.ijhydene.2023.08.323&partnerID=40&md5=13e6e85c48b31bf34906d9ba38e4e9a1","Central Electricity Authority (CEA), Government of India, Delhi, 110066, India; Department of Electrical Engineering, Indian Institute of Technology Delhi (IIT Delhi), Delhi, 110016, India; Delhi Metro Rail Corporation Ltd. (DMRC), Delhi-110001, India","Sareen, K., Central Electricity Authority (CEA), Government of India, Delhi, 110066, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology Delhi (IIT Delhi), Delhi, 110016, India; Shikhola, T., Delhi Metro Rail Corporation Ltd. (DMRC), Delhi-110001, India; Nagdeve, R., Central Electricity Authority (CEA), Government of India, Delhi, 110066, India","Solar energy based green hydrogen production is dependent on energy produced from Photovoltaic (PV) panels that is in turn dependent on Global Horizontal Irradiance (GHI), which has stochastic and intermittent nature. The intermittent power output from PV panels may interfere with the steady production of electricity required for electrolysis process to synthesis the green hydrogen thereby; reducing the effectiveness and scalability of green hydrogen generation. Ultimate goal of this work will be to effectively forecast and develop the atlas map for solar based green hydrogen production potential using the proposed algorithm i.e. Complete Ensemble Empirical Mode Decomposition with Adaptive Noise-Bidirectional Long Short-Term Memory (CEEMDAN-BiDLSTM). In order to suggest a reliable and precise forecasting methodology that will support India's low-carbon economy goals, the proposed method is evaluated on GHI datasets acquired via national portal of National Institute of Wind Energy (NIWE) for two Indian sites i.e. Bhadla and Fatehgarh. © 2023 Hydrogen Energy Publications LLC","Forecasting; Green hydrogen production; Machine learning; Modelling simulation; Solar irradiance; Water electrolysis","Deep learning; Electrolysis; Hydrogen production; Solar energy; Solar power generation; Stochastic systems; Wind power; Case-studies; Energy; Energy-based; Green hydrogen production; Machine-learning; Modeling simulation; Photovoltaic panels; Solar forecasting; Solar irradiances; Water electrolysis; Forecasting","Sareen, K.; Central Electricity Authority (CEA), India; email: karansareen26@gmail.com",,"Elsevier Ltd",03603199,,IJHED,,"English","Int J Hydrogen Energy",Article,"Final","",Scopus,2-s2.0-85171145201
