PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Clarke, RI; Amonkar, S; Rosenblad, A				Clarke, Rachel Ivy; Amonkar, Satyen; Rosenblad, Ann			Design thinking and methods in library practice and graduate library education	JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE			English	Article						Design thinking; graduate library education; librarianship; questionnaire surveys; United States		Despite interest in the application of design thinking and methods in librarianship, there seems to be a disconnect between application and education to support it. This study used an online questionnaire to elicit feedback from library workers in the United States about interest in and use of design thinking and methods in library practice, and the need for design skills and abilities in library education. We found that practicing librarians perceive design thinking and methods have relevance to library work, but opinions vary based on library type and nature of the work. Design thinking and methods were used mostly for space planning and program development, with applications emphasizing empathy and user/community understanding aspects-despite myriad other possibilities. Most respondents were in favor of including design thinking and methods in MLIS programs, which can support more robust applications through inclusion of the theoretical, philosophical, and epistemological underpinnings from which design thinking and methods emerge.	[Clarke, Rachel Ivy; Amonkar, Satyen; Rosenblad, Ann] Syracuse Univ, Sch Informat Studies, 343 Hinds Hall, Syracuse, NY 13244 USA	Syracuse University	Clarke, RI (corresponding author), Syracuse Univ, Sch Informat Studies, 343 Hinds Hall, Syracuse, NY 13244 USA.	rclark01@syr.edu			Institute of Museum and Library Services [RE-98-17-0032-17]	Institute of Museum and Library Services	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This project was made possible in part by the Institute of Museum and Library Services [RE-98-17-0032-17].		43	4	5	11	42	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	0961-0006	1741-6477		J LIBR INF SCI	J. Libr. Inf. Sci.	SEP	2020	52	3					749	763	0961000619871989	10.1177/0961000619871989	http://dx.doi.org/10.1177/0961000619871989		SEP 2019	15	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	MK1XT		Green Submitted			2024-01-21	WOS:000485763700001
J	Howarth, LC; Abels, EG				Howarth, Lynne C.; Abels, Eileen G.			Linda C. Smith: Fifty Years of Library and Information Science Education by Design	LIBRARY TRENDS			English	Article								Professor emerita Linda C. Smith designed a plan of study including her bachelor's degree, various master's degrees, a PhD, and a certifi-cate along with practical experience that prepared her for her career as a library and information science (LIS) educator, researcher, and administrator. The pairing of a deep respect and admiration for con-tent and delivery is the common thread that weaves reliably across Smith's fifty years in LIS as an innovator, educator, and researcher. All that she has initiated and accomplished across that time and moving forward can also be said to be "by design"-a potent mix of experience, anticipation, an eye for identifying what is missing, and a determination to doggedly research and implement an elegant "fix" for addressing that gap. This paper explores the common thread of Smith's innovations as a LIS educator, tracing her past and continu-ing influence on the evolution of LIS curriculum content and de-livery, and where it is reflected in, even predicted for contemporary and future graduate programs in information. Suggesting a tenet of design thinking, the authors examine Smith's career path and many contributions to confirm that one can get here from there.	[Howarth, Lynne C.] Univ Toronto, Fac Informat, Toronto, ON, Canada; [Howarth, Lynne C.] Canadian Assoc Informat Sci, Ottawa, ON, Canada; [Howarth, Lynne C.] Assoc Lib & Informat Sci ALISE, Westford, MA USA; [Howarth, Lynne C.] ALA Comm Accreditat, Chicago, IL USA; [Abels, Eileen G.] Simmons Coll, Boston, MA USA; [Abels, Eileen G.] Drexel Univ, Philadelphia, PA USA; [Abels, Eileen G.] Univ Maryland, College Pk, MD USA; [Abels, Eileen G.] ALISE, Westford, MA USA	University of Toronto; Simmons University; Drexel University; University System of Maryland; University of Maryland College Park	Howarth, LC (corresponding author), Univ Toronto, Fac Informat, Toronto, ON, Canada.		Demir, Fatma/GWZ-5156-2022						31	0	0	3	3	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0024-2594	1559-0682		LIBR TRENDS	Libr. Trends	AUG	2022	71	1					8	20		10.1353/lib.2023.0001	http://dx.doi.org/10.1353/lib.2023.0001			14	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	K3IN1					2024-01-21	WOS:001015408600001
J	Koren, N; Weintrop, D; Subramaniam, M				Koren, Nitzan; Weintrop, David; Subramaniam, Mega			Using design-based implementation research approach to create computational thinking assessment tools for youth programs in public libraries	LIBRARY & INFORMATION SCIENCE RESEARCH			English	Article						Design-based implementation research; Assessment; Computational thinking; Public libraries; Methods paper		Methodological innovations across social sciences are opening new avenues for conducting research designed to address real-world challenges. The benefits of utilizing the Design-Based Implementation Research (DBIR) approach in public libraries to resolve a persistent problem of practice, a lack of assessment tools to evaluate youth Computational Thinking (CT) programs, is demonstrated. Findings from a three-year, three-phased study utilizing the DBIR approach to design and implement a suite of assessment tools to assess CT programming in public libraries are presented. Guided by the four principles of the DBIR approach, this research produced new knowledge, including identifying CT program outcomes, challenges, and recommendations for designing and implementing assessment tools to measure the impact of public libraries' CT programming. Findings underscore the DBIR approach as a strategy for engaging with practitioners and helping shift their perspectives by resolving practice problems and facilitating the design of sustainable solutions.	[Koren, Nitzan; Weintrop, David; Subramaniam, Mega] Univ Maryland, Coll Informat Studies, 4161 Fieldhouse Dr,Patuxent Bldg, College Pk, MD 20742 USA; [Weintrop, David] Univ Maryland, Coll Educ, 4161 Fieldhouse Dr,Patuxent Bldg, College Pk, MD 20742 USA	University System of Maryland; University of Maryland College Park; University System of Maryland; University of Maryland College Park	Koren, N (corresponding author), Univ Maryland, Coll Informat Studies, 4161 Fieldhouse Dr,Patuxent Bldg, College Pk, MD 20742 USA.	nkoren@umd.edu			Institute of Museum and Library Services (IMLS) [LG-14-19-0079-19]	Institute of Museum and Library Services (IMLS)	Funding This work was supported by the Institute of Museum and Library Services (IMLS) [grant number LG-14-19-0079-19] .		36	0	0	9	11	ELSEVIER SCIENCE INC	NEW YORK	STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA	0740-8188	1873-1848		LIBR INFORM SCI RES	Libr. Infor. Sci. Res.	APR	2023	45	2							101240	10.1016/j.lisr.2023.101240	http://dx.doi.org/10.1016/j.lisr.2023.101240		MAR 2023	9	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	D8CM0					2024-01-21	WOS:000970951800001
J	Capdarest-Arest, N; Opuda, E; Stark, RK				Capdarest-Arest, Nicole; Opuda, Eugenia; Stark, Rachel Keiko			"Game on!" Teaching gamification principles for library instruction to health sciences information professionals using interactive, low-tech activities and design-thinking modalities	JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION			English	Article								Background: Gamification is correlated with increased motivation and engagement of learners and is increasingly being incorporated into library instruction. Opportunities for librarians to learn and practice principles of gamification can be helpful for those desiring to incorporate gamification into instruction. This report describes the development and delivery of an interactive special content session at MLA '18, the 2018 Medical Library Association annual meeting in Atlanta, Georgia, focusing on principles of low-tech game design for health sciences library classroom instruction. Case Presentation: The special content session, titled "Design, Play, Learn: A Special Content Session to Design a Game for Database Instruction," was designed and delivered using multimodal instruction (e.g., flipped classroom, didactic component, active learning) that also incorporated principles of design thinking. A pre- and post-survey was given to all participants at the beginning and end of the session to measure confidence and desire to incorporate gamification into instruction and as a formative feedback indicator for instructors. Participants reported increased confidence and desire to use games for library instruction after participating in the session. A selection of games was uploaded to a shared content folder designed for course participants as an ongoing repository for ideas and communication. Conclusions: For librarians who are interested in incorporating principles of gamification into library instruction, attending a relatively short hands-on workshop can facilitate learning and confidence around prototyping and creating games for use in library instruction. We intend to improve upon the workshop and offer it again in additional contexts, based on direct observations of the session and participant feedback.	[Capdarest-Arest, Nicole] Univ Calif Davis, Blaisdell Med Lib, Davis, CA 95616 USA; [Opuda, Eugenia] Univ New Hampshire, Dimond Lib, Durham, NH 03824 USA; [Stark, Rachel Keiko] Sacramento State Univ, Lib, Sacramento, CA USA	University of California System; University of California Davis; University System Of New Hampshire; University of New Hampshire; California State University System; California State University Sacramento	Capdarest-Arest, N (corresponding author), Univ Calif Davis, Blaisdell Med Lib, Davis, CA 95616 USA.	ncapdarest@ucdavis.edu; eugenia.opuda@unh.edu; stark@csus.edu	Capdarest-Arest, Nicole/AAD-2004-2019; ARSLAN, Okan/AAA-3232-2020; Stark, Rachel Keiko/AAZ-3284-2020	Capdarest-Arest, Nicole/0000-0002-0174-5587; Stark, Rachel Keiko/0000-0001-7946-2213; Opuda, Eugenia/0000-0003-1410-6546					6	3	3	4	44	MEDICAL LIBRARY ASSOC	CHICAGO	65 EAST WACKER PLACE, STE 1900, CHICAGO, IL 60601-7298 USA	1536-5050			J MED LIBR ASSOC	J. Med. Libr. Assoc.	OCT	2019	107	4					566	571		10.5195/jmla.2019.636	http://dx.doi.org/10.5195/jmla.2019.636			6	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	JD1JY	31607814	Green Published, gold, Green Submitted			2024-01-21	WOS:000489732200012
J	Butcher, KR; Bhushan, S; Sumner, T				Butcher, KR; Bhushan, S; Sumner, T			Multimedia displays for conceptual discovery: information seeking with strand maps	MULTIMEDIA SYSTEMS			English	Article						information seeking; strand maps; educational digital libraries; science learning; educational technology	KNOWLEDGE MAPS; SEARCH PROCESS; DESIGN; USERS	This article explores the use of a multimedia search interface for digital libraries based on strand maps developed by the American Association for the Advancement of Science. As semantic-spatial displays, strand maps provide a visual organization of relevant conceptual information that may promote the use of science content during digital library use. A study was conducted to compare users' cognitive processes during information seeking tasks when using a multimedia strand maps interface, versus the textual search interface currently implemented in the Digital Library for Earth System Education. Quantitative and qualitative data from think-aloud protocols revealed that students were more likely to engage with science content (e.g., analyzing the relevance of science concepts with regard to task needs) during search when using the strand maps interface compared to those using textual searching. In contrast, students using a textual search interface engaged more frequently with surface-level information (e.g., the type of a resource regardless of its science content) during search and retrieval. As a multimedia search interface for digital libraries, strand maps appear to be promising tools to promote conceptual discovery and learning through content-based processes that promote learner engagement with relevant science knowledge.	Univ Corp Atmospher Res, Digital Lib Earth Syst Educ Program Ctr, Boulder, CO 80307 USA; Univ Colorado, Dept Comp Sci, Boulder, CO 80309 USA	National Center Atmospheric Research (NCAR) - USA; University of Colorado System; University of Colorado Boulder	Butcher, KR (corresponding author), Univ Corp Atmospher Res, Digital Lib Earth Syst Educ Program Ctr, POB 3000, Boulder, CO 80307 USA.	kbutcher@ucar.edu; sonal@ucar.edu; sumner@colorado.edu	Butcher, Kirsten/AAU-4881-2020	Butcher, Kirsten/0000-0002-7433-0972					35	5	8	0	12	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0942-4962	1432-1882		MULTIMEDIA SYST	Multimedia Syst.	MAR	2006	11	3					236	248		10.1007/s00530-005-0004-y	http://dx.doi.org/10.1007/s00530-005-0004-y			13	Computer Science, Information Systems; Computer Science, Theory & Methods	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Computer Science	022TK					2024-01-21	WOS:000236078600005
J	Han, ZB; Huang, SQ; Li, H; Ren, N				Han, Zhengbiao; Huang, Shuiqing; Li, Huan; Ren, Ni			Risk assessment of digital library information security: a case study	ELECTRONIC LIBRARY			English	Article						Digital library; Risk assessment; Vulnerability; Information security; Threats		Purpose - This paper uses the GB/T20984-2007 multiplicative method to assess the information security risk of a typical digital library in compliance with the principle and thought of ISO 27000. The purpose of this paper is to testify the feasibility of this method and provide suggestions for improving information security of the digital library. Design/methodology/approach - This paper adopts convenience sampling to select respondents. The assessment of assets is through analyzing digital library-related business and function through a questionnaire which collects data to determine asset types and the importance of asset attributes. The five-point Likert scale questionnaire method is used to identify the threat possibility and its influence on the assets. The 12 respondents include directors and senior network technicians from the editorial department, comic library, children's library, counseling department and the learning promotion centre. Three different Guttman scale questionnaires, tool testing and on-site inspection are combined to identify and assess vulnerabilities. There were different Guttman scale questionnaires for management personnel, technical personnel and general librarian. In all, 15 management librarians, 7 technical librarians and 72 ordinary librarians answered the vulnerability questionnaire. On-site inspection was conducted on the basis of 11 control domains of ISO 27002. Vulnerabilities were scanned using remote security evaluation system NSFOCUS. The scanning covered ten IP sections and a total of 81 hosts. Findings - Overall, 2,792 risk scores were obtained. Among them, 282 items (accounting for 10.1 per cent of the total) reached the high risk level; 2 (0.1 per cent) reached the very high risk level. High-risk items involved 26 threat types (accounting for 44.1 per cent of all threat types) and 13 vulnerability types (accounting for 22.1 per cent of all vulnerability types). The evaluation revealed that this digital library faces seven major hidden dangers in information security. The assessment results were well accepted by staff members of this digital library, which testified to the applicability of this method to a Chinese digital library. Research limitations/implications - This paper is only a case study of a typical Chinese digital library using a digital library information security assessment method. More case-based explorations are necessary to prove the feasibility of the assessing strategy proposed in this study. Originality/value - Based on the findings of recent literature, the authors found that very few researchers have made efforts to develop methods for calculating the indicators for digital library information security risk assessment. On the basis of ISO 27000 and other related information security standards, this case study proposed an operable method of digital library information security risk assessment and used it to assess a the information security of a typical Chinese digital library. This study can offer insights for formulating a digital library information security risk assessment scale.	[Han, Zhengbiao; Huang, Shuiqing; Li, Huan] Nanjing Agr Univ, Coll Informat Sci & Technol, Nanjing, Jiangsu, Peoples R China; [Ren, Ni] Nanjing Agr Univ, Coll Informat Sci & Technol, Nanjing, Jiangsu, Peoples R China; [Ren, Ni] Jiangsu Acad Agr Sci, Inst Agr Econ & Informat, Nanjing, Jiangsu, Peoples R China	Nanjing Agricultural University; Nanjing Agricultural University; Jiangsu Academy of Agricultural Sciences	Huang, SQ (corresponding author), Nanjing Agr Univ, Coll Informat Sci & Technol, Nanjing, Jiangsu, Peoples R China.	sqhuang@njau.edu.cn			national social science fund project of China [12ATQ001]	national social science fund project of China	The authors gratefully acknowledge the financial support for this study by the national social science fund project of China. Project number is 12ATQ001.		23	13	16	4	71	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0264-0473	1758-616X		ELECTRON LIBR	Electron. Libr.		2016	34	3					471	487		10.1108/EL-09-2014-0158	http://dx.doi.org/10.1108/EL-09-2014-0158			17	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	DR2ZD					2024-01-21	WOS:000379771500007
J	Ojennus, P				Ojennus, Paul			Modelling advances in gatekeeping theory for academic libraries	JOURNAL OF DOCUMENTATION			English	Article						Selection; Information management; Theory; Modelling; Academic libraries; Gatekeeping theory	INFORMATION; FRAMEWORK; SELECTION; ROLES	Purpose The purpose of this paper is to evaluate the appropriateness of gatekeeping theory, particularly its recent elaboration in journalism and communication studies for the investigation of information flows in academic libraries. Design/methodology/approach This paper uses the methods of conceptual analysis and thought experiment. Findings This paper finds that current elaborations of gatekeeping theory are useful for modeling library information flows, particularly identifying and evaluating influences on those flows. It is able to reframe intransigent issues around library neutrality and open access so that more nuanced approaches can be constructed. Originality/value Gatekeeping theory as elaborated by Shoemaker and Vos for journalism and communication studies, while occasionally referenced the library and information science (LIS) literature, has not been previously evaluated as a framework for library information flows. This is the first paper to assess the potential of aspects of the theory such as levels of analysis and multiplicity of channels to reframe issues in LIS.	[Ojennus, Paul] Whitworth Univ, Lib Dept, Spokane, WA 99251 USA	Whitworth University	Ojennus, P (corresponding author), Whitworth Univ, Lib Dept, Spokane, WA 99251 USA.	pojennus@whitworth.edu							54	3	5	1	19	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0022-0418	1758-7379		J DOC	J. Doc.	MAR 9	2020	76	2					389	408		10.1108/JD-03-2019-0051	http://dx.doi.org/10.1108/JD-03-2019-0051			20	Computer Science, Information Systems; Information Science & Library Science	Social Science Citation Index (SSCI)	Computer Science; Information Science & Library Science	KJ8ZR					2024-01-21	WOS:000512345100002
J	Tanackovic, SF; Horvatic, IF; Micunovic, M				Tanackovic, Sanjica Faletar; Horvatic, Ivana Faletar; Micunovic, Milijana			Provision of the European Union information in an acceding country A survey of the role of public libraries in Croatia	LIBRARY HI TECH			English	Article						Public libraries; Croatia; European Union; Collections; Information provision; Acceding country		Purpose - The purpose of this paper is to present an exploratory study whose aim was to investigate the role of public libraries in the provision of European Union (EU) information in an EU acceding country (Croatia). Design/methodology/approach - Study was conducted via online questionnaire in public libraries across country. Findings - The findings revealed that majority of respondents (83.7 percent) think it is an important task of public libraries to provide citizens with materials about the EU, and that almost all responding libraries (98 percent) have EU materials. In general, respondents think that provision of EU materials in their library does not compromise its role of politically neutral institution. The results also indicate that libraries quite rarely (10 percent) maintain links to relevant EU online sources on their websites. EU collections in responding libraries are promoted actively most frequently in the library itself and on its website, and very rarely in the local media. Practical implications - Findings are expected to be of interest to European administration in charge of the development of effective communication policies, national authorities in EU candidate and acceding countries, and information professionals in general. Originality/value - This is the first study to investigate the role of public libraries in EU information provision in an EU acceding country.	[Tanackovic, Sanjica Faletar; Micunovic, Milijana] Univ Osijek, Dept Informat Sci, Osijek, Croatia; [Horvatic, Ivana Faletar] Zagreb City Lib, Zagreb, Croatia	University of JJ Strossmayer Osijek	Tanackovic, SF (corresponding author), Univ Osijek, Dept Informat Sci, Osijek, Croatia.	sfaletar@ffos.hr	Micunovic, Milijana/JWP-3064-2024; Faletar Tanacković, Sanjica/AAB-8459-2022	Micunovic, Milijana/0000-0003-1035-0541; Faletar, Sanjica/0000-0001-7387-6458					15	0	0	0	6	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0737-8831			LIBR HI TECH	Libr. Hi Tech		2016	34	3					454	467		10.1108/LHT-02-2016-0020	http://dx.doi.org/10.1108/LHT-02-2016-0020			14	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	DZ8ZO					2024-01-21	WOS:000386162500003
J	Henderson, F; Nunez-Rodriguez, N; Cesari, W				Henderson, Flor; Nunez-Rodriguez, Nelson; Cesari, William			Enhancing Research Skills and Information Literacy in Community College Science Students	AMERICAN BIOLOGY TEACHER			English	Article						Collaborative work; information literacy; online research skills		Community college science majors were assigned a team-based research project in a course sequence of General Biology I and II and were followed over a two-semester sequence during three academic years. The project was intended to introduce key General Education principles such as global citizenship, scientific reasoning, communication skills, information literacy, and stewardship. Conducted in partnership with library faculty, the assignment used course-integrated workshops and one-on-one reference instruction to help students produce research papers, learn the mechanics of online library research, and practice public speaking. Assignments were designed to emphasize and refine skills such as information literacy, critical thinking, and writing, while supplementing course content with current global events. Pre- and post-surveys were conducted to analyze assimilation of skills during General Biology I and mastering of those skills the following semester.	[Henderson, Flor; Nunez-Rodriguez, Nelson; Cesari, William] CUNY Hostos Community Coll, Bronx, NY 10451 USA	City University of New York (CUNY) System	Henderson, F (corresponding author), CUNY Hostos Community Coll, 500 Grand Concourse A-507N, Bronx, NY 10451 USA.	fhenderson@hostos.cuny.edu; nnrodriguez@hostos.cuny.edu; wcasari@hostos.cuny.edu							17	7	16	1	45	NATL ASSOC BIOLOGY TEACHERS INC	RESTON	12030 SUNRISE VALLEY DR, #110, RESTON, VA 20191 USA	0002-7685	1938-4211		AM BIOL TEACH	Am. Biol. Teach.	MAY	2011	73	5					270	275		10.1525/abt.2011.73.5.5	http://dx.doi.org/10.1525/abt.2011.73.5.5			6	Biology; Education, Scientific Disciplines	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics; Education & Educational Research	957UC					2024-01-21	WOS:000305188100005
J	Pomerantz, J; Marchionini, G				Pomerantz, Jeffrey; Marchionini, Gary			The digital library as place	JOURNAL OF DOCUMENTATION			English	Article						Libraries; Digital libraries; Information facilities; Information centres; Generation and dissemination of information; Organizational design		Purpose - The purpose of this paper is to present a high-level investigation of the physical-conceptual continuum occupied by both digital and physical libraries. Design/methodology/approach - A framework is provided for thinking about the notions of place and library. The issue of materials and the ideas they represent is considered. Places for people are considered, including issues of people's sense of place in physical and digital spaces. The issue of physical and digital spaces as places for work, collaboration, and community-building is considered. Findings - As more digital libraries are built, and as more physical libraries offer electronic access to parts of their collection, two trends are likely to result: the role of the library as a storage space for materials will become decreasingly important, and the role of the library as a space for users, for individual and collaborative work, and as a space for social activity, will become increasingly important. Research limitations/implications - Digital libraries are unable to fulfill some of the functions of the physical library as physical spaces, but are able to offer functions beyond what the physical library can offer as cognitive spaces. Practical implications - Areas of likely future development for digital libraries are suggested, as vehicles for enhancing cognitive space by augmenting representations of ideas in materials. Originality/value - This paper argues that in many ways digital libraries really are places in the conceptual sense, and will continue to broaden and enrich the roles that libraries play in people's lives and in the larger social milieu.	[Pomerantz, Jeffrey; Marchionini, Gary] Univ N Carolina, Sch Informat & Lib Sci, Chapel Hill, NC 27515 USA	University of North Carolina; University of North Carolina Chapel Hill	Pomerantz, J (corresponding author), Univ N Carolina, Sch Informat & Lib Sci, Chapel Hill, NC 27515 USA.	pomerantz@unc.edu		Pomerantz, Jeffrey/0000-0003-1056-3627; Marchionini, Gary/0000-0002-4233-4952					78	35	46	4	51	EMERALD GROUP PUBLISHING LIMITED	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0022-0418			J DOC	J. Doc.		2007	63	4					505	533		10.1108/00220410710758995	http://dx.doi.org/10.1108/00220410710758995			29	Computer Science, Information Systems; Information Science & Library Science	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Computer Science; Information Science & Library Science	V95RN					2024-01-21	WOS:000206467500005
