"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Persson J.; Grönkvist S.","Persson, Johannes (56186199700); Grönkvist, Stefan (15044201400)","56186199700; 15044201400","Drivers for and barriers to low-energy buildings in Sweden","2015","Journal of Cleaner Production","109","","","296","304","8","77","10.1016/j.jclepro.2014.09.094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923862484&doi=10.1016%2fj.jclepro.2014.09.094&partnerID=40&md5=9d6b0cbb6b10b72cd375a49f54384321","Division of Energy Processes, Department of Chemical Engineering and Technology, Royal Institute of Technology, Stockholm, 100 44, Sweden","Persson J., Division of Energy Processes, Department of Chemical Engineering and Technology, Royal Institute of Technology, Stockholm, 100 44, Sweden; Grönkvist S., Division of Energy Processes, Department of Chemical Engineering and Technology, Royal Institute of Technology, Stockholm, 100 44, Sweden","From the perspective of construction companies, this paper investigates the existence and significance of barriers and driving forces for the implementation of energy-efficient houses in Sweden. Here, eleven construction companies that build low-energy buildings comparable in performance with passive houses have been interviewed. One conclusion is that there is not one specific barrier that keeps energy-efficient housing from taking off. Instead, the barriers include a whole range of issues that have to be considered. Internal pressure has been a strong contributor to the onset of passive house constructions within the companies and the results indicate that personal commitment is central and perhaps the strongest driver. A general reflection from the interviews is that there is a need to show both construction companies and potential customers that it is possible to build passive houses and that they exist. Unlike the national building regulations, which are not considered to be relevant when it comes to energy consumption, the future building regulations from the European Union are identified as a regulatory driver. Moreover, life-cycle thinking is reported to increase among actors, but that it would be beneficial if banks as well as real estate agents could develop a comprehensive view and become better at considering energy and LCC in their capital budgeting templates. Even if the interest for passive houses is considered low among the public, the market is identified as promising among the construction companies - recently actually large enough to become a driver in itself. © 2014 Published by Elsevier Ltd.","Energy-efficiency gap; Low-energy buildings; Passive houses","Budget control; Building codes; Buildings; Construction; Construction industry; Energy utilization; Houses; Housing; Life cycle; Building regulations; Construction companies; Energy-efficiency gaps; Life cycle thinking; Low energy buildings; Passive house; Potential customers; Real estate agents; Energy efficiency","J. Persson; Division of Energy Processes, Department of Chemical Engineering and Technology, Royal Institute of Technology, Stockholm, 100 44, Sweden; email: tjp@kth.se","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84923862484"
"Cobut A.; Blanchet P.; Beauregard R.","Cobut, Aline (55362007000); Blanchet, Pierre (7102260600); Beauregard, Robert (7003888792)","55362007000; 7102260600; 7003888792","The environmental footprint of interior wood doors in non-residential buildings - Part 1: Life cycle assessment","2015","Journal of Cleaner Production","109","","","232","246","14","30","10.1016/j.jclepro.2015.04.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928978776&doi=10.1016%2fj.jclepro.2015.04.079&partnerID=40&md5=cfb7b5ecae4e610163c7b3563ac6235d","Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada","Cobut A., Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada; Blanchet P., Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada; Beauregard R., Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, QC, Canada","Integrating environmental aspects into industrial practices has become a necessity. In fact, climate change and resource depletion have been established scientifically and can no more be neglected. Life Cycle Assessment is acknowledged to be an efficient tool to establish a product environmental profile and can be useful to businesses wishing to analyze their environmental record. Decreasing a building environmental footprint implies, among other considerations, a proper choice of building materials, both structural and architectural. A good avenue would be to select low environmental impact materials from cradle-to-grave. Architectural wooden doors are often specified in non-residential buildings in North America. However, only one Life Cycle Assessment has been carried out on wooden doors. This study explores the cradle-to-grave environmental profile of an interior wood door in a North American context. According to the results, the main contributor to the product impacts is the production of raw materials, especially the particleboard component, and their transportation to the manufacturing plant. The urea formaldehyde production is the main reason for particleboard impacts among the three damage categories, human health, climate change and resources, of IMPACT 2002+. The other life cycle stages that have a noticeable influence on the door environmental impacts are shipping and end-of-life. Transportation as a whole affected the system total environmental score. The current results could serve as a basis for ecodesign implementation. © 2015 Elsevier Ltd. All rights reserved.","Appearance wood products; Ecodesign; Interior wooden doors; LCA; Non-residential buildings","Buildings; Climate change; Doors; Ecodesign; Environmental impact; Housing; Materials handling; Particle board; Urea; Urea formaldehyde resins; Environmental aspects; Environmental footprints; Environmental profile; Environmental records; LCA; Life Cycle Assessment (LCA); Residential building; Wooden door; Life cycle","A. Cobut; Renewable Materials Research Center, Faculté de Foresterie, de Géographie et de Géomatique, Université Laval, Québec, G1V 0A6, Canada; email: aline.cobut.1@ulaval.ca","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84928978776"
"Faramarzi G.R.; Khodakarami M.; Shabani A.; Farzipoor Saen R.; Azad F.","Faramarzi, Gholam Reza (56087787800); Khodakarami, Mohsen (56063796900); Shabani, Amir (39262472500); Farzipoor Saen, Reza (8875873000); Azad, Fatemeh (57208759421)","56087787800; 56063796900; 39262472500; 8875873000; 57208759421","New network data envelopment analysis approaches: an application in measuring sustainable operation of combined cycle power plants","2015","Journal of Cleaner Production","108","","","232","246","14","22","10.1016/j.jclepro.2015.06.065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062962225&doi=10.1016%2fj.jclepro.2015.06.065&partnerID=40&md5=e63424423d30dd962444625d0e172095","Young Researchers and Elites Club, Karaj Branch, Islamic Azad University, Karaj, Alborz, Iran; Young Researchers and Elites Club, Science and Research Branch, Islamic Azad University, Tehran, Iran; Department of Industrial Management, Faculty of Management and Accounting, Karaj Branch, Islamic Azad University, P. O. Box: 31485-313, Karaj, Iran","Faramarzi G.R., Young Researchers and Elites Club, Karaj Branch, Islamic Azad University, Karaj, Alborz, Iran; Khodakarami M., Young Researchers and Elites Club, Karaj Branch, Islamic Azad University, Karaj, Alborz, Iran; Shabani A., Young Researchers and Elites Club, Science and Research Branch, Islamic Azad University, Tehran, Iran; Farzipoor Saen R., Department of Industrial Management, Faculty of Management and Accounting, Karaj Branch, Islamic Azad University, P. O. Box: 31485-313, Karaj, Iran; Azad F., Young Researchers and Elites Club, Karaj Branch, Islamic Azad University, Karaj, Alborz, Iran","Nowadays, organizations deal with numerous economic, environmental, and social problems. To have sustainable operations, they have begun to incorporate environmental and social concerns into conventional economic objectives. A combined cycle power plant (CCPP) is a good instance of an open system with multistage processes and interconnected activities. Efficiency evaluation of CCPPs is a complex task since there exist a variety of inputs (outputs) which enter into any stages of network. Additionally, there might be intermediate products which are consumed by the same power plants. We call such factors “loop” intermediate measures. To measure efficiency of CCPPs, network data envelopment analysis (NDEA) is used. This paper proposes new NDEA models to evaluate efficiency of CCPPs. The proposed models calculate the efficiency of power plants and their sub-sectors under both CRS (constant returns to scale) and VRS (variable returns to scale) assumptions. This paper provides a comprehensive analysis for returns to scale. We apply the new NDEA models to measure relative efficiency of CCPPs. © 2015 Elsevier Ltd","Combined cycle power plants; Multiple objective linear programming; Network data envelopment analysis; Returns to scale; Sustainability","Data envelopment analysis; Efficiency; Linear programming; Sustainable development; Comprehensive analysis; Efficiency evaluation; Intermediate measure; Intermediate product; Multiple objective linear programming; Network data; Returns to scale; Sustainable operations; Combined cycle power plants","R. Farzipoor Saen; Department of Industrial Management, Faculty of Management and Accounting, Karaj Branch, Islamic Azad University, Karaj, P. O. Box: 31485-313, Iran; email: farzipour@yahoo.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85062962225"
"Peng Y.; Lai Y.; Li X.; Zhang X.","Peng, Yi (56576801600); Lai, Yani (55762745900); Li, Xuewen (55995243100); Zhang, Xiaoling (55604838800)","56576801600; 55762745900; 55995243100; 55604838800","An alternative model for measuring the sustainability of urban regeneration: The way forward","2015","Journal of Cleaner Production","109","","","76","83","7","83","10.1016/j.jclepro.2015.06.143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937114443&doi=10.1016%2fj.jclepro.2015.06.143&partnerID=40&md5=b48aff635ed6a14a9ec00c41732487f1","School of Urban-rural Planning and Management, Zhejiang University of Finance and Economics, Hangzhou, China; Department of Construction Management and Real Estate, Shenzhen University, China; Department of Land Management, Zhejiang University, Hangzhou, China; Department of Public and Social Administration, City University of Hong Kong, Hong Kong, Hong Kong","Peng Y., School of Urban-rural Planning and Management, Zhejiang University of Finance and Economics, Hangzhou, China; Lai Y., Department of Construction Management and Real Estate, Shenzhen University, China; Li X., Department of Land Management, Zhejiang University, Hangzhou, China; Zhang X., Department of Public and Social Administration, City University of Hong Kong, Hong Kong, Hong Kong","The increasing awareness of the need to improve built environments in declined urban areas worldwide has raised the popularity of urban regeneration as a research topic. Various tools, such as questionnaire surveys, analytic hierarchy process, and fuzzy set theory, have been developed to measure the sustainability of urban regeneration and ensure that it follows the principles of sustainable development. However, these studies, which rely on the indicator system, assume that urban regeneration is a static and isolated state during the assessment process. Hence, this study aims to provide an alternative model for measuring sustainability of urban regeneration. Fuzzy set theory and Monte Carlo simulation were introduced to solicit critical measurement indicators that would lay a unified basis for comparison. Entropy method was also used to determine the weights of relevant critical measurement indicators to avoid subjective judgment. A general decision-making framework for dynamic monitoring of urban regeneration was developed based on the dynamic change of sustainability of urban regeneration (Vk) and urgency of urban regeneration (Uk). Four scenarios were discussed based on the four quadrants generated by Vk and Uk. Therefore, sustainable urban regeneration can be identified and compared through the Vk-Uk coordinate system, and the best practices of urban regeneration can be determined for global promotion. This model has the advantages to process the fuzzy and subjective nature in indicator assessment of sustainability of urban regeneration, which is an improvement compared with existing studies. As well, the decision-making framework could assist policy-makers in determining the sustainability of an ongoing urban regeneration as well in performing a dynamic and long-term monitoring of the process. © 2015 Elsevier Ltd. All rights reserved.","Dynamics; Entropy method; Sustainability; Urban regeneration","Decision making; Dynamics; Fuzzy set theory; Fuzzy sets; Intelligent systems; Monte Carlo methods; Set theory; Surveys; Sustainable development; Co-ordinate system; Critical measurements; Decision-making frameworks; Dynamic monitoring; Entropy methods; Long term monitoring; Questionnaire surveys; Urban regeneration; Urban planning","Y. Lai; Department of Construction Management and Real Estate, Shenzhen University, China; email: lai.yani@connect.polyu.hk","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84937114443"
"Olazabal M.; Pascual U.","Olazabal, Marta (26023613900); Pascual, Unai (8318429700)","26023613900; 8318429700","Urban low-carbon transitions: Cognitive barriers and opportunities","2015","Journal of Cleaner Production","109","","","336","346","10","34","10.1016/j.jclepro.2015.08.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940855959&doi=10.1016%2fj.jclepro.2015.08.047&partnerID=40&md5=9b405498d90e7fc3d9534f9e8373b092","University of Cambridge, Department of Land Economy, 16-21 Silver St., Cambridge, CB3 9EP, United Kingdom; Basque Centre for Climate Change, BC3, Alameda de Urquijo 4, Bilbao, 48008, Spain; Ikerbasque, Basque Foundation for Science, Maria Diaz de Haro 3, Bilbao, 48013, Spain","Olazabal M., University of Cambridge, Department of Land Economy, 16-21 Silver St., Cambridge, CB3 9EP, United Kingdom, Basque Centre for Climate Change, BC3, Alameda de Urquijo 4, Bilbao, 48008, Spain; Pascual U., University of Cambridge, Department of Land Economy, 16-21 Silver St., Cambridge, CB3 9EP, United Kingdom, Basque Centre for Climate Change, BC3, Alameda de Urquijo 4, Bilbao, 48008, Spain, Ikerbasque, Basque Foundation for Science, Maria Diaz de Haro 3, Bilbao, 48013, Spain","This paper addresses the importance of the cognitive dimension in urban sustainability transition policy practice. Many and diverse actors with contrasting interests interact in urban sustainability transitions. Their perceptions and values impact the potential uptake of transition strategies in urban systems. It is thus important to understand how actors view themselves involved in such processes. A case study on low carbon transitions for the city of Bilbao (Basque Country) is presented to explore the barriers and opportunities for an energy transition using Q methodology. Results suggest that stakeholders' motivation and perceived capacity for change are mainly related to four main discourses: follower, visionary, pragmatist and sceptic. Results also indicate that information exchange, communication and participation in decision-making processes, bridging visionaries and pragmatists with decision-makers, are key for bringing about effective transition processes. This study contributes to identifying attitudes of actors who can negotiate urban low-carbon transitions and stresses the need to build a common shared cognitive vision of whether and how sustainable urban transformation can take place. © 2015 Elsevier Ltd. All rights reserved.","Cognitive dimension; Low-carbon transitions; Q methodology; Sustainable urban transformation","Sustainable development; Cognitive dimensions; Decision making process; Energy transitions; Information exchanges; Low-carbon transitions; Q methodology; Sustainable urban transformation; Urban sustainability; Decision making","M. Olazabal; Basque Centre for Climate Change, BC3, Bilbao, Alameda de Urquijo 4, 48008, Spain; email: marta.olazabal@bc3research.org","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84940855959"
"Ding X.; Zhong W.; Shearmur R.G.; Zhang X.; Huisingh D.","Ding, Xiaohui (36774383300); Zhong, Weizhou (55416355600); Shearmur, Richard G. (6602624809); Zhang, Xiaoling (55604838800); Huisingh, Donald (55944703800)","36774383300; 55416355600; 6602624809; 55604838800; 55944703800","An inclusive model for assessing the sustainability of cities in developing countries - Trinity of Cities' Sustainability from Spatial, Logical and Time Dimensions (TCS-SLTD)","2015","Journal of Cleaner Production","109","","","62","75","13","51","10.1016/j.jclepro.2015.06.140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938651117&doi=10.1016%2fj.jclepro.2015.06.140&partnerID=40&md5=11c5be8a3b7cf1f4198366d4d42f7bf8","School of Finance and Economics, Xi'An Jiaotong University, 74, Yantaxi Road, Xi'an, 710061, China; School of Urban Planning, McGill University, 815 rue Sherbrooke Ouest, Montréal, QC, Canada; Department of Public Policy, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong; Institute for A Secure and Sustainable Environment, University of Tennessee, Knoxville, TN, United States; Business Administration College, Huaqiao University, Chenghua North Road, Quanzhou, Fengze, China","Ding X., School of Finance and Economics, Xi'An Jiaotong University, 74, Yantaxi Road, Xi'an, 710061, China; Zhong W., School of Finance and Economics, Xi'An Jiaotong University, 74, Yantaxi Road, Xi'an, 710061, China, Business Administration College, Huaqiao University, Chenghua North Road, Quanzhou, Fengze, China; Shearmur R.G., School of Urban Planning, McGill University, 815 rue Sherbrooke Ouest, Montréal, QC, Canada; Zhang X., Department of Public Policy, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong; Huisingh D., Institute for A Secure and Sustainable Environment, University of Tennessee, Knoxville, TN, United States","Attaining inclusive, regenerative and sustainable cities for all in the context of unparalleled rates of urbanization, economy-oriented priorities, and chaotic urban development that characterize the developing world is a major challenge. A first step in reaching this goal is to conceptualize an inclusive framework for delineating, assessing and guiding the development of these cities towards sustainability. In this study we outline an inclusive, causal framework for Sustainable Development (SD) assessment, entitled ""Trinity of Cities Sustainability from Spatial, Logical and Time Dimensions"" (TCS-SLTD). It has been developed for cities in developing countries, and is illustrated using one such city, Xi'an. After reviewing the history and trends of urbanization of cities in Western China, some principles for assessing sustainability of cities in developing countries are suggested, after which the Xi'an case is presented. The urban area of Xi'an has expanded by more than 10 fold during the last quarter century, while arable land has decreased by 39%. In addition to these dramatic changes in land-use, the main axis of urban expansion has shifted from a north-south axial to radial expansion towards all areas around the core city. Over time, urban expansion has followed a ""concentrated-deconcentrated- concentrated"" trend. Xi'an overall sustainability, as measured by the index we present, has followed an upward - but not monotonic - trend between 1990 and 2010, during which its urbanization rate increased by 30%. On the basis of our multi-dimensional analysis, suggestions are made on how to direct Xi'an toward a more regenerative development path. These include revitalization of the urban system, control of urban form through planning, consulting and informing local communities about sustainable development issues, and achieving efficient functioning and harmonious coordination among different departments and municipal authorities in Xi'an. The TCS-SLTD model, outlined in this study, is a useful tool for guiding the process of Sustainable Development Indicator (SDI) selection, and provides a conceptual framework for holistically assessing the sustainability of city growth and expansion in developing countries. The model can assist urban planners and policy makers in developing countries in the performance of integrated assessments city sustainability, and in the formulation of pragmatic and focused policies to shift cities towards more regenerative and sustainable development trajectories. © 2015 Elsevier Ltd. All rights reserved.","Cities in developing countries; Enhanced Drivers-Pressures-States-Impacts-Responses (eDPSIR) framework; Multi-Dimension Framework for Sustainability Assessment (MDFSA); Regenerative development; Trinity of Cities' Sustainability from Spatial, Logical and Time Dimensions (TCS-SLTD)","Developing countries; Economics; Environmental protection; Expansion; Land use; Planning; Urban growth; Urban planning; Conceptual frameworks; Enhanced Drivers-Pressures-States-Impacts-Responses (eDPSIR) framework; Multi-dimensional analysis; Municipal authorities; Regenerative development; Sustainability assessment; Sustainable development indicators; Time dimension; Sustainable development","X. Ding; School of Finance and Economics, Xi'An Jiaotong University, Xi'an, 74, Yantaxi Road, 710061, China; email: xhding@mail.xjtu.edu.cn","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84938651117"
"Maher I.; Sarhan A.A.D.; Barzani M.M.; Hamdi M.","Maher, Ibrahem (56191148600); Sarhan, Ahmed A.D. (15726329600); Barzani, Mohsen Marani (55441438100); Hamdi, M. (17433807000)","56191148600; 15726329600; 55441438100; 17433807000","Increasing the productivity of the wire-cut electrical discharge machine associated with sustainable production","2015","Journal of Cleaner Production","108","","","247","255","8","49","10.1016/j.jclepro.2015.06.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065710481&doi=10.1016%2fj.jclepro.2015.06.047&partnerID=40&md5=4782fa50e23c2aa07c5dd63adb16a605","Centre of Advanced Manufacturing and Material Processing, Department of Mechanical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Department of Mechanical Engineering, Faculty of Engineering, Kafrelsheikh University, Kafrelsheikh, 33516, Egypt; Department of Mechanical Engineering, Faculty of Engineering, Assiut University, Assiut, 71516, Egypt","Maher I., Centre of Advanced Manufacturing and Material Processing, Department of Mechanical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia, Department of Mechanical Engineering, Faculty of Engineering, Kafrelsheikh University, Kafrelsheikh, 33516, Egypt; Sarhan A.A.D., Centre of Advanced Manufacturing and Material Processing, Department of Mechanical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia, Department of Mechanical Engineering, Faculty of Engineering, Assiut University, Assiut, 71516, Egypt; Barzani M.M., Centre of Advanced Manufacturing and Material Processing, Department of Mechanical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Hamdi M., Centre of Advanced Manufacturing and Material Processing, Department of Mechanical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia","Wire-cut electric discharge machining is a nontraditional technique by which the required profile is acquired using sparks energy. Concerning wire-cut electric discharge machining, high cutting rates and precision machining is necessary to improve productivity and achieve high quality of machined workpieces. In this research work, an experimental investigation was introduced to achieve higher productivity of the wire electrode associated with sustainable production in terms of product quality and less heat-affected zone. For this purpose, the effects of machining parameters including peak current, pulse on time and wire preloading were investigated using adaptive neuro-fuzzy inference system along with the Taguchi method. From this study, the optimal setting of machining parameters to achieve higher productivity and sustainability was identified. Moreover, Neuro-fuzzy modeling was successfully used to build an empirical model for the selection of machining parameters to achieve higher productivity at highest possible surface quality and minimum cost for sustainable production. © 2015 Elsevier Ltd","ANFIS; Energy consumption; Sustainable production; Taguchi; Wire-cut EDM","Electric discharge machining; Energy utilization; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Heat affected zone; Machining centers; Productivity; Sustainable development; Taguchi methods; Wire; Adaptive neuro-fuzzy inference system; ANFIS; Electrical discharge machines; Experimental investigations; Machining parameters; Precision machining; Sustainable production; Wire cut electric discharge machining; Electric discharges","A.A.D. Sarhan; Centre of Advanced Manufacturing and Material Processing, Department of Mechanical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; email: ah_sarhan@yahoo.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85065710481"
"Kokubu K.; Kitada H.","Kokubu, Katsuhiko (6701899482); Kitada, Hirotsugu (56060074700)","6701899482; 56060074700","Material flow cost accounting and existing management perspectives","2015","Journal of Cleaner Production","108","","","1279","1288","9","53","10.1016/j.jclepro.2014.08.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027954012&doi=10.1016%2fj.jclepro.2014.08.037&partnerID=40&md5=ed959187990d75cfb002421dc8398119","Graduate School of Business Administration, Kobe University, Rokko, Kobe, 657-8501, Japan; Faculty of Business Administration, Hosei University, 2-17-1 Fujimi, Chiyoda, Tokyo, 102-8160, Japan","Kokubu K., Graduate School of Business Administration, Kobe University, Rokko, Kobe, 657-8501, Japan; Kitada H., Faculty of Business Administration, Hosei University, 2-17-1 Fujimi, Chiyoda, Tokyo, 102-8160, Japan","Material flow cost accounting (MFCA) has been developed worldwide as a major tool in environmental management accounting. The International Standard on MFCA was published as ISO 14051 in 2011. In Japan, the Ministry of Economy, Trade and Industry (METI) has been strongly supporting the promotion of MFCA, and the number of companies introducing this tool has been steadily increasing. However, in order to apply MFCA in companies continuously, it is necessary to overcome conflicts between MFCA and existing management perspectives. This paper argues that such conflicts are likely to be caused by the essential features of MFCA, and indicates some theoretical solutions based on organizational design. Then, by looking at three example cases of companies that have succeeded in the continuous use of MFCA, specific countermeasures for dealing with conflicts are investigated. © 2014 Elsevier Ltd.","Controllability; Management perspectives; Material flow cost accounting; Material loss","Controllability; Costs; Environmental management; Environmental management accountings; Essential features; International standards; Material Flow; Material loss; Ministry of economy , trade and industries; Organizational designs; Theoretical solutions; Cost accounting","H. Kitada; Faculty of Business Administration, Hosei University, Chiyoda, Tokyo, 2-17-1 Fujimi, 102-8160, Japan; email: kitada@hosei.ac.jp","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85027954012"
"Sulong F.; Sulaiman M.; Norhayati M.A.","Sulong, Farizah (57195453380); Sulaiman, Maliah (8603406200); Norhayati, Mohd Alwi (56339908900)","57195453380; 8603406200; 56339908900","Material Flow Cost Accounting (MFCA) enablers and barriers: The case of a Malaysian small and medium-sized enterprise (SME)","2015","Journal of Cleaner Production","108","","","1365","1374","9","38","10.1016/j.jclepro.2014.08.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028199404&doi=10.1016%2fj.jclepro.2014.08.038&partnerID=40&md5=ee432cdf1ec520cac9066208f3fb5142","School of Maritime Business and Management, Universiti Malaysia Terengganu, Kuala Terengganu, Terengganu, 21030, Malaysia; Department of Accounting, Kulliyyah of Economics and Management Sciences, International Islamic University Malaysia, P.O. Box 10, Kuala Lumpur, 50728, Malaysia","Sulong F., School of Maritime Business and Management, Universiti Malaysia Terengganu, Kuala Terengganu, Terengganu, 21030, Malaysia; Sulaiman M., Department of Accounting, Kulliyyah of Economics and Management Sciences, International Islamic University Malaysia, P.O. Box 10, Kuala Lumpur, 50728, Malaysia; Norhayati M.A., Department of Accounting, Kulliyyah of Economics and Management Sciences, International Islamic University Malaysia, P.O. Box 10, Kuala Lumpur, 50728, Malaysia","The introduction of Material Flow Cost Accounting (MFCA) to five companies under the Malaysia Productivity Corporation (MPC) project has shown that these companies have indeed achieved simultaneous benefits of economic gains and environmental sustainability. This paper highlights the experience of one of the companies, emphasising how one can leverage enablers and also overcome barriers to implementing MFCA in a small and medium-sized enterprise (SME) in Malaysia. Driven by the diffusion of innovation (DOI) theory, the case company found most of its enablers within MFCA's own attributes. Additionally other factors such as the team composition, interpersonal communication, and efforts of the change agents were instrumental in the success of the MFCA implementation. However, the company was also constrained by its suppliers. More importantly, it is envisaged that a potential hurdle for MFCA advancement is when performance management issues are not addressed by higher management. Drawing upon the company's experience and the theoretical literature, other barriers that may also be encountered by SMEs in Malaysia are also discussed. These include for example, overcoming the traditionalist view held by most SMEs, persevering the implementation processes on their own without the direct assistance from MPC and several others. © 2014 Elsevier Ltd.","ISO 14051; Malaysia; Material Flow Cost Accounting (MFCA); Qualitative research; SME","Costs; Sustainable development; ISO 14051; Malaysia; Material Flow; Qualitative research; SME; Cost accounting","F. Sulong; School of Maritime Business and Management, Universiti Malaysia Terengganu, Kuala Terengganu, Terengganu, 21030, Malaysia; email: farizahsulong@gmail.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85028199404"
"Pearce B.J.","Pearce, Binbin J. (57002689000)","57002689000","Phosphorus Recovery Transition Tool (PRTT): A transdisciplinary framework for implementing a regenerative urban phosphorus cycle","2015","Journal of Cleaner Production","109","","","203","215","12","14","10.1016/j.jclepro.2015.08.111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949762306&doi=10.1016%2fj.jclepro.2015.08.111&partnerID=40&md5=94a0282c04ad2aac37c849b0093b0061","Yale University, School of Forestry and Environmental Studies, 195 Prospect St., New Haven, 06511, CT, United States; ETH Zurich, Institute for Environmental Decisions, Transdisciplinary Lab (TDLab), Sonneggstrasse 33, Zurich, 8092, Switzerland","Pearce B.J., Yale University, School of Forestry and Environmental Studies, 195 Prospect St., New Haven, 06511, CT, United States, ETH Zurich, Institute for Environmental Decisions, Transdisciplinary Lab (TDLab), Sonneggstrasse 33, Zurich, 8092, Switzerland","The anthropogenic use of phosphorus has emerged as a one of the major drivers of global environmental change. The finite supply of the nutrient, geographical concentration of the remaining supply, and continuing occurrences of eutrophication and harmful algal blooms (caused, in part, by excessive phosphorus outflows into the environment) are causes for immediate concern. As a response, there is increasing recognition that phosphorus entering waste streams should be recovered as a resource rather than disposed of as a pollutant. While phosphorus recovery technology and strategies have been outlined in some detail in the existing literature, none have explicitly addressed the reasons for why these processes have not been implemented at scale. In addition, the potential for urban systems to play a role in creating a holistic management system for phosphorus has received little recognition. This paper addresses these knowledge gaps by offering a tool for analyzing the context, drivers, barriers, and implementation of phosphorus recovery technologies in urban areas. The framework tool consists of five guiding questions. The process of answering the questions presents an opportunity for researchers, decision makers, and community stakeholders to explicitly identify what and how changes to the current system can be made. This paper provides an approach for producing the knowledge necessary for facilitating the transition to an urban phosphorus recovery regime that is relevant for both practitioners and academics. The approach may also be adapted to understanding other resource cycles in the future, such as nitrogen, water, and energy. © 2015 Elsevier Ltd. All rights reserved.","Phosphorus cycle; Transdisciplinary research; Urban resource recovery","Decision making; Eutrophication; Recovery; Decision makers; Global environmental change; Harmful algal blooms; Knowledge gaps; Management systems; Phosphorus cycles; Phosphorus recovery; Resource recovery; Phosphorus","B.J. Pearce; Yale University, School of Forestry and Environmental Studies, New Haven, 195 Prospect St., 06511, United States; email: bin.pearce@usys.ethz.ch","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84949762306"
